"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-01","0.13","0.0","0.0","69","46","49"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-02","0.01","0.0","0.0","67","48","51"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-03","0.00","0.0","0.0","67","50","51"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-04","0.00","0.0","0.0","64","44","46"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-05","0.00","0.0","0.0","64","50","52"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-06","2.29","0.0","0.0","60","43","45"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-07","0.08","0.0","0.0","56","39","43"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-08","0.00","0.0","0.0","61","42","48"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-09","0.00","0.0","0.0","62","44","45"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-10","0.00","0.0","0.0","64","44","47"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-11","0.00","0.0","0.0","69","44","47"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-12","0.00","0.0","0.0","68","47","48"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-13","0.00","0.0","0.0","72","45","46"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-14","0.00","0.0","0.0","72","46","45"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-15","0.45","0.0","0.0","51","42","46"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-16","0.28","0.0","0.0","62","44","48"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-17","0.12","0.0","0.0","59","40","48"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-18","0.00","0.0","0.0","61","41","45"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-19","0.00","0.0","0.0","64","43","47"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-20","0.00","0.0","0.0","67","41","51"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-21","0.02","0.0","0.0","63","46","52"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-22","0.52","0.0","0.0","63","48","50"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-23","0.18","0.0","0.0","66","42","44"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-24","0.00","0.0","0.0","64","44","48"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-25","0.00","0.0","0.0","67","48","55"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-26","0.00","0.0","0.0","72","50","51"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-27","0.00","0.0","0.0","72","46","52"
"USC00046174","NEW MELONES DAM HQ, CA US","38.0047","-120.4863","292.6","1992-03-28","0.00","0.0","0.0","71","46","53"
